ID,Tweet Content
3182,"""𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗗𝗮𝗶𝗹𝘆 🏆

Didier Domi and Nicky Summerbee join @mattspiro &amp; @KaylynKyle on the sofa as we reflect on France vs Morocco. 

#FIFAWorldCup #Qatar2022 https://t.co/wTysfDf5Wk"""
4184,"""Nations who have reached consecutive #FIFAWorldCup finals:

• Italy (1934, 1938)
• Brazil (1958, 1962 - 1994, 1998, 2002)
• Netherlands (1974, 1978)
• West Germany (1982, 1986, 1990)
• Argentina (1986, 1990) 
• France (2018, 2022)

#FRA https://t.co/vsVxJA22Qw"""
1616,"""Tonight France plays Morocco in 2nd semi final of the #FIFAWorldCup

Irrespective of the result, there would be riots in Paris and few more cities of Europe which most of the world will conveniently ignore. God bless France. #FranceVsMorocco."""
3025,"""🇵🇹 Cristiano Ronaldo after 1000 games;

⚽️ 725 goals 
🎯 216 assists 
🏆 31 trophies 

🇦🇷 Lionel Messi after 1000 games;

⚽️ 789-goals
🎯 348-assists 
🏆 41-trophies

🔝#FIFAWorldCup Stats 

#Messi𓃵|#CR7𓃵|#ARG|#ARGAUS https://t.co/cqIOQi6TFc"""
1414,"""🇦🇷 Argentina and reigning world champions 🇫🇷 France will play for the #FIFAWorldCup trophy at the Lusail Stadium on Sunday!

Who do you want to see lifting the ultimate crown at #Qatar2022? https://t.co/ysllGvimWV"""
764,"""Will you watch the #FIFAWorldCup or get in touch with @hotsolarkate❓

Solar Kate ❤️‍🔥❤️‍🔥❤️‍🔥 https://t.co/YN8A74q007"""
656,"""Rioting breaks out in Lyon, France as Morocco was defeated by France in the #FIFAWorldCup. https://t.co/PktIBCTAeI"""
4798,"""The lsraeli occupation forces invade a Jerusalemite football club to confiscate Palestinian and Moroccan flags. #FIFAWorldCup https://t.co/wp7hefK9dX"""
3850,"""We have been saved🤩🏆

Simply retweet if you believe Messi is the #GOAT𓃵 and his competitor is a just another mortal. 

#FIFAWorldCup https://t.co/b0cOd45sm7"""
4154,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
469,"""World Cup semi-finals of 2022. #Cricket #FIFAWorldCup     

🇫🇷 v 🇲🇦 2 - 0
🇦🇷 v 🇭🇷 3 - 0
🏴󠁧󠁢󠁥󠁮󠁧󠁿 v 🇮🇳 170 - 0"""
158,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
1296,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
498,"""Morocco lost the semi-final but the way Morocco reached the semi-final and played a fantastic game, giving moments of joy to the Muslim Ummah, was fantastic. Thank you Morocco and best wishes for the future from the whole of Pakistan and the Muslim Ummah.

#FIFAWorldCup https://t.co/TrIG0IU0Y7"""
4741,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
2941,"""Rioting breaks out in Lyon, France as Morocco was defeated by France in the #FIFAWorldCup. https://t.co/PktIBCTAeI"""
3457,"""It's Messi's last dance!!! Vamos #ARG    lift this WC for Messi!! #FIFAWorldCup    #ArgentinaVsFrance #Messi𓃵 https://t.co/iDhkzjqfKq"""
374,"""@OtiAdjei Argentina has no chance. France are winning and Benzema would lift his first #FIFAWorldCup ishaAllah. 🙏"""
80,"""Wayne Rooney, the highest goalscorer of all time for both England National Team and Manchester United is promoting #Pathaan😂💥❤‍🔥✨

PATHAAN DEKHEGA HINDUSTAN

#FIFAWorldCup https://t.co/BIeB2mgfJL"""
